index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,望江一套,AVS+,DRA,开锁,602,702,望江, ,九江味道 2023-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,望江三套,AVS+,DRA,开锁,603,703,望江, ,九江味道 2023-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, , ,桐城综合,AVS+,DRA,开锁, , ,桐城, ,刘学文 2020-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,195, , ,桐城文化生活,AVS+,DRA,开锁, , ,桐城, ,刘学文 2020-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,195, , ,安徽卫视,AVS+,DRA,开锁, , ,桐城, ,刘学文 2020-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,195, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,桐城, ,刘学文 2020-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,195, , ,[中央电视台综合频道](http://www.cctv.com),AVS+,DRA,开锁, , ,桐城, ,刘学文 2020-03-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,211, ,405,安徽卫视,AVS+,DRA,开锁,1294,1295,潜山, ,1302290023 2023-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,211, ,406,安徽经济生活,AVS+,DRA,开锁,1537,1538,潜山, ,1302290023 2023-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,211, ,407,安徽公共,AVS+,DRA,开锁,1793,1704,潜山, ,1302290023 2023-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
