index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,海城综合,AVS+,DRA,开锁, , ,海城, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , ,台安综合,AVS+,DRA,开锁,513,514,台安发射台补点, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, , ,辽宁卫视,AVS+,DRA,开锁,257,258,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,辽宁都市,AVS+,DRA,开锁,260,261,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,辽宁影视剧,AVS+,DRA,开锁,513,514,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,宜佳购物,AVS+,DRA,开锁,516,517,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,辽宁体育,AVS+,DRA,开锁,769,770,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,辽宁生活,AVS+,DRA,开锁,772,773,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,辽宁北方,AVS+,DRA,开锁,1025,1026,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,辽宁教育青少,AVS+,DRA,开锁,1028,1029,市区, ,禹笙 2021-01-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514, ,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514, ,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514, ,110,老年之声, ,MPEG-1,开锁, ,810,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区, ,沈阳学院鑫鑫 2022-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,650, , ,鞍山新闻综合,AVS+,DRA,开锁, , ,鞍山, ,沈音学院鑫鑫 2022-05-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,650, , ,鞍山生活服务,AVS+,DRA,开锁, , ,鞍山, ,沈音学院鑫鑫 2022-05-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,650, , ,中央电视台综合频道,AVS+,DRA,开锁, , ,鞍山, ,沈音学院鑫鑫 2022-05-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,658, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,岫岩满族自治县发射, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,658, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,岫岩满族自治县发射, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,658, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,岫岩满族自治县发射, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,658, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,岫岩满族自治县发射, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,658, , ,岫岩综合,AVS+,DRA,开锁, , ,岫岩满族自治县发射, ,英佰 2023-04-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,658, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区, ,沈音学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,658, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区, ,沈音学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,658, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区, ,沈音学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,658, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区, ,沈音学院鑫鑫 2022-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
