index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,水平,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,水平,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,水平,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,水平,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506,水平,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506,水平,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506,水平,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506,水平,109,文艺之声, ,MPEG-1,开锁, ,800,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506,水平,110,老年之声, ,MPEG-1,开锁, ,810,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506,水平,112,阅读之声, ,MPEG-1,开锁, ,820,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506,水平,115,中国交通广播, ,MPEG-1,开锁, ,830,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506,水平,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区, ,lroova 2023-02-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,650,水平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,650,水平,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,650,水平,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,650,水平,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区, ,lroova 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
