index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530, , ,白城新闻综合,AVS+,DRA,开锁,1122,1123,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,530, , ,大安一套,AVS+,DRA,开锁,1182,1183,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,530, , ,吉林卫视,AVS+,DRA,开锁,37,38,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,530, , ,吉林乡村,AVS+,DRA,开锁,32,33,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,530, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,530, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,530, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,610, , ,白城新闻综合,AVS+,DRA,开锁,1122,1123,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,610, , ,通榆综合,AVS+,DRA,开锁,1182,1183,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,610, , ,吉林卫视,AVS+,DRA,开锁,37,38,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,610, , ,吉林乡村,AVS+,DRA,开锁,32,33,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,610, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,610, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,610, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,610, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,通榆县, ,天涯孤鸿2018-07-11, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,674, , ,白城新闻综合,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,674, , ,白城公共,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,674, , ,吉林卫视,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,674, , ,吉林乡村,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,674, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,674, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,674, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,674, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,754, , ,吉视都市,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,754, , ,吉视生活,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,754, , ,吉视影视,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,754, , ,吉视新闻公共,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,754, , ,吉视综艺文化,AVS+,DRA,开锁, , ,白城, ,tozy 2018-04-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,754, , ,吉视都市,AVS+,DRA,开锁, , ,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,754, , ,吉视生活,AVS+,DRA,开锁, , ,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,754, , ,吉视影视,AVS+,DRA,开锁, , ,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,754, , ,吉视新闻公共,AVS+,DRA,开锁, , ,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,754, , ,吉视综艺文化,AVS+,DRA,开锁, , ,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,770, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,770, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,770, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,770, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,770, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,770, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,白城, ,tozy 2018-12-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,770, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,770, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,770, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,大安, ,13007628415 2018-07-19, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
