index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,626, , ,中央电视台综合频道, , , ,512,650,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,626, , ,中央电视台经济频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,626, , ,中央电视台中文国际频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,626, , ,中央电视台农业农村频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,626, , ,中央电视台纪录频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,626, , ,中央电视台科教频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,626, , ,中央电视台戏曲频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,626, , ,中央电视台社会与法频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,626, , ,中央电视台新闻频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,626, , ,中央电视台少儿频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,626, , ,中央电视台音乐频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,626, , ,中国环球电视网新闻频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,634, , ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,634, , ,中央电视台 纪录频道,AVS+,DRA,开锁,513,660,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,634, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,634, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,634, , ,广西卫视,AVS+,DRA,开锁,1011,1013,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,634, , ,广西综艺,AVS+,DRA,开锁,1021,1023,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,634, , ,【百色综合 黑屏】,AVS+,MPEG-2,开锁,201,202,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,634, , ,【那坡电视台 黑屏】,AVS+,MPEG-1,开锁,101,102,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,658, , ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,658, , ,中央电视台 纪录频道,AVS+,DRA,开锁,513,660,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,658, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,658, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,658, , ,广西卫视,AVS+,DRA,开锁,1011,1013,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,658, , ,广西综艺,AVS+,DRA,开锁,1021,1023,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,658, , ,百色综合,AVS+,MPEG-2,开锁,2523,2521,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,690, , ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,690, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,690, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,690, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,690, , ,广西卫视,AVS+,DRA,开锁,1011,1013,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,690, , ,广西综艺,AVS+,DRA,开锁,1021,1023,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,690, , ,百色综合,AVS+,MPEG-2,开锁,2523,2521,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,690, , ,平果公共,AVS+,MPEG-2,开锁, , ,平果, ,刘学文 2022-01-18, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,698, , ,中央电视台综合频道, , , ,512,650,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,698, , ,中央电视台经济频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,698, , ,中央电视台中文国际频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,698, , ,中央电视台农业农村频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,698, , ,中央电视台纪录频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,698, , ,中央电视台科教频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,698, , ,中央电视台戏曲频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,698, , ,中央电视台社会与法频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,698, , ,中央电视台新闻频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,698, , ,中央电视台少儿频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,698, , ,中央电视台音乐频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,698, , ,中国环球电视网新闻频道, , , , , ,田林县, ,我爱发射塔 2016-11-05, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,730, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,730, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,730, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,730, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,730, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,730, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,730, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,730, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,那坡县, ,gxws 2019-01-28, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,754, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
56,754, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
57,754, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
58,754, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
59,754, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
60,754, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
61,754, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
62,754, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,坡阳山发射台, ,bs1216 2018-08-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
