index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,477, , ,中央电视台军事农业频道,AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,477, , ,[中央电视台 纪录频道](http://www.cctv.com),AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,477, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,477, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,477, , ,吉林卫视,AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,477, , ,吉林乡村,AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,477, , ,白山市综合,AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,477, , ,抚松综合,AVS+, ,开锁, , ,抚松县城、抚松154台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474, , ,中央电视台军事农业频道,AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,[中央电视台 纪录频道](http://www.cctv.com),AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,474, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,474, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,474, , ,吉林卫视,AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,474, , ,吉林乡村,AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,474, , ,白山市综合,AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,474, , ,靖宇一套,AVS+, ,开锁, , ,靖宇, ,guanyong123 2017-04-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,538, , ,中央电视台军事农业频道,AVS+, ,开锁, , ,抚松露水河台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, , ,[中央电视台 纪录频道](http://www.cctv.com),AVS+, ,开锁, , ,抚松露水河台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+, ,开锁, , ,抚松露水河台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+, ,开锁, , ,抚松露水河台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, , ,吉林卫视,AVS+, ,开锁, , ,抚松露水河台, ,guanyong123 2017-12-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
