index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,562, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,562, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,562, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,562, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,562, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,562, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,562, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,562, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,562, ,101,中国之声, ,MPEG-1,开锁, ,730,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,562, ,102,经济之声, ,MPEG-1,开锁, ,740,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,562, ,103,音乐之声, ,MPEG-1,开锁, ,750,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,562, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,562, ,105,台海之声, ,MPEG-1,开锁, ,770,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,562, ,106,神州之声, ,MPEG-1,开锁, ,780,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,562, ,108,民族之声, ,MPEG-1,开锁, ,790,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,562, ,109,文艺之声, ,MPEG-1,开锁, ,800,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,562, ,110,老年之声, ,MPEG-1,开锁, ,810,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,562, ,112,阅读之声, ,MPEG-1,开锁, ,820,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,562, ,115,中国交通广播, ,MPEG-1,开锁, ,830,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,562, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,景泰县 会宁县,64QAM 3/5(0.6),甘肃飞扬 2023-12-03,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,634, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,634, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,634, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,634, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,634, , ,甘肃公共,AVS+,DRA,开锁,516,690,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,634, , ,白银综合,AVS+,DRA,开锁,517,700,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,634, , ,景泰綜合,AVS+,DRA,开锁,518,710,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,634, ,465,应急广播, ,MPEG-1,开锁, ,49,景泰县,64QAM 3/5(0.6),甘肃飞扬 2023-06-25,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,634, , ,[白银综合](http://www.cctv.com/),MPEG-4, ,开锁, , , , ,大乖乖2016-03-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,634, , ,甘肃卫视,MPEG-4, ,锁码, , , , ,大乖乖2016-03-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,634, , ,凤凰中文,MPEG-4, ,锁码, , , , ,大乖乖2016-03-12,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
