index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, ,201,陕西新闻资讯,AVS+,DRA,开锁,211,212,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, ,202,陕西都市青春,AVS+,DRA,开锁,221,222,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, ,205,陕西公共,AVS+,DRA,开锁,251,252,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, ,101,陕西农村广播, ,MPEG-1,开锁, ,74,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, ,102,陕西都市广播, ,MPEG-1,开锁, ,78,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498, ,103,陕西音乐广播, ,MPEG-1,开锁, ,54,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, ,104,陕西戏曲广播, ,MPEG-1,开锁, ,76,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, ,105,陕西经济广播, ,MPEG-1,开锁, ,66,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, ,106,陕西音乐广播, ,MPEG-1,开锁, ,54,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, ,107,陕西新闻广播, ,MPEG-1,开锁, ,66,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498, ,108,陕西青少广播, ,MPEG-1,开锁, ,80,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, ,109,陕西秦腔广播, ,MPEG-1,开锁, ,96,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498, ,111,陕西交通广播, ,MPEG-1,开锁, ,52,市区,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506, ,201,陕西新闻资讯,AVS+,DRA,开锁,211,212,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506, ,202,陕西都市青春,AVS+,DRA,开锁,221,222,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506, ,205,陕西公共,AVS+,DRA,开锁,251,252,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, ,101,陕西农村广播, ,MPEG-1,开锁, ,74,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, ,102,陕西都市广播, ,MPEG-1,开锁, ,78,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, ,103,陕西音乐广播, ,MPEG-1,开锁, ,54,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, ,104,陕西戏曲广播, ,MPEG-1,开锁, ,76,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506, ,105,陕西经济广播, ,MPEG-1,开锁, ,66,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506, ,106,陕西音乐广播, ,MPEG-1,开锁, ,54,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506, ,107,陕西新闻广播, ,MPEG-1,开锁, ,66,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506, ,108,陕西青少广播, ,MPEG-1,开锁, ,80,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,506, ,109,陕西秦腔广播, ,MPEG-1,开锁, ,96,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,506, ,111,陕西交通广播, ,MPEG-1,开锁, ,52,庙王山发射,16QAM PN945 4/5(0.8),宝鸡星友2024-01-13,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,514, ,101,中国之声, ,MPEG-1,开锁, ,730,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,514, ,102,经济之声, ,MPEG-1,开锁, ,740,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,514, ,105,台海之声, ,MPEG-1,开锁, ,770,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,514, ,106,神州之声, ,MPEG-1,开锁, ,780,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,514, ,108,民族之声, ,MPEG-1,开锁, ,790,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,514, ,110,老年之声, ,MPEG-1,开锁, ,810,宝鸡潘龙塬, ,亚洲波束2022-08-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
