index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , , , , , , , , , ,wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , , , , , , , , , ,wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , , , , , , , , , ,wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , , , , , , , , , ,wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,库尔勒市西北,16QAM PN945 4/5(0.8),wsxhh 2023-04-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
