index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530,垂直, ,四川卫视,AVS+,DRA,开锁,4114,4115, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,530,垂直, ,四川电视2台（经济）,AVS+,DRA,开锁,4130,4131, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,530,垂直, ,四川电视3台（台文化旅游）,AVS+,DRA,开锁,4146,4147, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,530,垂直, ,四川电视4台（新闻）,AVS+,DRA,开锁,4162,4163, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,530,垂直, ,四川电视5台（影视文艺),AVS+,DRA,开锁,4178,4179, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,530,垂直, ,四川电视6台（星空购物）,AVS+,DRA,开锁,4194,4195, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,530,垂直, ,四川电视5台（妇女儿童 ）,AVS+,DRA,开锁,4210,4211, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530,垂直, ,四川电视8台（乡村）,AVS+,DRA,开锁,4226,4227, ,16QAM PN420 4/5(0.8),元氏老宋 2023-12-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,530, , ,巴中综合, , ,开锁, , , , ,元氏老宋 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,530, , ,巴中文旅生活, , ,开锁, , , , ,元氏老宋 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,530, , ,四川新闻, , ,开锁, , , , ,元氏老宋 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,530, , ,星空购物, , ,开锁, , , , ,元氏老宋 2023-12-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
