index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , ,广西卫视,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , ,广西综艺旅游,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , ,广西都市,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, , ,广西影视,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,211, , ,广西新闻,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,211, , ,中央电视台综合频道,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,211, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,211, , ,北海新闻综合,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,211, , ,合浦电视台,AVS+,DRA,开锁, , ,合浦县廉州镇, ,北部湾星友2023-11-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,211,垂直, ,北海新闻综合,AVS+,DRA,开锁, , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,211,垂直, ,合浦电视台,AVS+,MPEG-1,开锁, , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,211,垂直, ,广西新闻,AVS+,DRA,开锁, , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,211,垂直, ,广西卫视,AVS+,DRA,开锁, , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,211,垂直, ,广西新闻广播, , , , , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,211,垂直, ,广西教育广播, , , , , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,211,垂直, ,广西文艺广播, , , , , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,211,垂直, ,广西交通广播, , , , , ,合浦闸口镇, ,廉江人 2023-06-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,482, ,100,广西卫视,AVS+,DRA,开锁,1011,1013,市区,32QAM 4/5(0.8),zhang zhuzi2022 2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,482, ,125,广西新闻,AVS+,DRA,开锁,1061,1063,市区,32QAM 4/5(0.8),zhang zhuzi2022 2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,482, ,715,北海新闻综合,AVS+,DRA,开锁,2641,2643,市区,32QAM 4/5(0.8),zhang zhuzi2022 2023-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,538, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,538, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,538, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,538, ,101,中国之声, ,MPEG-1,开锁, ,730,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,538, ,102,经济之声, ,MPEG-1,开锁, ,740,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,538, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,538, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,538, ,105,台海之声, ,MPEG-1,开锁, ,770,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,538, ,106,神州之声, ,MPEG-1,开锁, ,780,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,538, ,108,民族之声, ,MPEG-1,开锁, ,790,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,538, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,538, ,110,老年之声, ,MPEG-1,开锁, ,810,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,538, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,538, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,538, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区,16QAM 4/5(0.8),kobeedison 2022-11-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,650, ,100,广西卫视,AVS+,DRA,开锁,1011,1013,市区,32QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,650, ,125,广西新闻,AVS+,DRA,开锁,1061,1063,市区,32QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,650, ,715,北海新闻综合,AVS+,DRA,开锁,2641,2643,市区,32QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,658,水平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区,4QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,658,水平,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区,4QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,658,水平,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区,4QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,658,水平,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区,4QAM 4/5(0.8),zhang zhuzi2022 2023-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
