index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, ,512,平谷电视台,AVS+,MPEG-1,开锁,1024,1280,平谷,64QAM PN420 3/5(0.6),格格不入2023-07-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179, ,102,通州综合高清频道,AVS+,MPEG-1,开锁,1204,1205,通州, ,sky 2021-05-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,179, , ,通州公共高清频道,AVS+,MPEG-1,开锁, , ,通州, ,sky 2021-05-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,187,水平, ,湖南卫视,AVS+,MPEG-1,开锁, , ,密云, ,jyzb 2021-06-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,187,水平, ,上海东方卫视,AVS+,MPEG-1,开锁, , ,密云, ,jyzb 2021-06-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,187,水平, ,浙江卫视,AVS+,MPEG-1,开锁, , ,密云, ,jyzb 2021-06-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,187,水平, ,江苏卫视,AVS+,MPEG-1,开锁, , ,密云, ,jyzb 2021-06-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,187,水平, ,北京卫视,AVS+,MPEG-1,开锁, , ,密云, ,jyzb 2021-06-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,187,水平, ,密云一套,AVS+,MPEG-1,开锁, , ,密云, ,jyzb 2021-06-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,195,水平, ,昌平综合高清频道,AVS+,AAC,开锁,160,170,昌平, ,jyzb 2021-12-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
