index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,怀远综合,AVS+,MPEG-2,开锁,160,170,怀远, ,气象万千2023-09-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, , ,怀远文化旅途,AVS+,MPEG-2,开锁,260,270,怀远, ,气象万千2023-09-10,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , ,安徽卫视,AVS+,MPEG-2,开锁,360,370,怀远, ,气象万千2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,安徽公共,AVS+,MPEG-2,开锁, , ,怀远, ,气象万千2023-09-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, , ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506, , ,安徽卫视,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506, ,407,安徽公共,AVS+,DRA,开锁,1793,1794,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506, , ,安徽卫视,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506, , ,安徽经济,AVS+,DRA,开锁, , ,怀远, ,徽视天下 2022-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506, , ,安徽卫视,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506, , ,安徽公共,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, , ,安徽影视,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, , ,蚌埠新闻,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, , ,蚌埠公共,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, , ,蚌埠教育,AVS+,DRA,开锁, , ,市区, ,气象万千2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
