index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,邹平新闻,AVS+,MPEG-1,开锁,1075,1125,邹平, ,zxl3220 2017-04-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,171, , ,邹平民生,AVS+,MPEG-1,开锁,1076,1126,邹平, ,zxl3220 2017-04-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,171, , ,邹平综艺,AVS+,MPEG-1,开锁,1077,1127,邹平, ,zxl3220 2017-04-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,171, , ,邹平经开区频道,AVS+,MPEG-1,开锁,184,190,邹平, ,zxl3220 2017-04-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,沾化综合,AVS+,MPEG-1,开锁, , ,沾化, ,金属外壳2023-05-04,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,沾化综艺,AVS+,MPEG-1,开锁, , ,沾化, ,金属外壳2023-05-04,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482,垂直,1001,浙江卫视,AVS+,MPEG-1,开锁,33,34,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,垂直,1002,上海东方卫视,AVS+,MPEG-1,开锁,36,37,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,垂直,1003,深圳卫视,AVS+,MPEG-1,开锁,39,40,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,垂直,1004,湖南卫视,AVS+,MPEG-1,开锁,42,43,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482,垂直,1005,北京卫视,AVS+,MPEG-1,开锁,45,46,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,482,垂直,1006,辽宁卫视,AVS+,MPEG-1,开锁,48,49,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,482,垂直,1007,【邹平综合】,AVS+,MPEG-1,开锁,51,52,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,482,垂直,1008,【邹平民生】,AVS+,MPEG-1,开锁,54,55,邹平,64QAM 3/5(0.6),预览满天星2023-07-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490, , ,中央电视台中文国际频道,AVS+, ,开锁,549,805,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,490, , ,中央电视台农业农村频道,AVS+, ,开锁,550,806,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,490, , ,中央电视台纪录频道,AVS+, ,开锁,551,807,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,490, , ,中国环球电视网新闻频道,AVS+, ,开锁,552,808,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,490, , ,滨州公共,AVS+, ,开锁, , ,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,490, , ,山东齐鲁,AVS+, ,开锁, , ,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,490, , ,滨州一套,AVS+, ,开锁, , ,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,490, , ,无棣综合频道,AVS+, ,开锁,4657,3658,无棣, ,小半半 2020-10-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,490, , ,山东体育广播, ,MPEG-1,开锁, ,2689,无棣, ,小半半 2020-10-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,490, , ,山东音乐广播, ,MPEG-1,开锁, ,2673,无棣, ,小半半 2020-10-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,490, , ,山东乡村广播, ,MPEG-1,开锁, ,2657,无棣, ,小半半 2020-10-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,490, , ,山东交通广播, ,MPEG-1,开锁, ,2641,无棣, ,小半半 2020-10-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,490, , ,中国之声, ,MPEG-1,开锁, ,2705,无棣, ,小半半 2020-10-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,538,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,549,805,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,538,垂直, ,中央电视台科教频道,AVS+,DRA,开锁,550,806,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,538,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,551,807,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,538,垂直, ,中国环球电视网新闻频道,AVS+,DRA,开锁,552,808,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,538,垂直, ,滨州公共,AVS+,DRA,开锁,4628,4629,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,538,垂直, ,山东齐鲁,AVS+,DRA,开锁,4129,4130,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,538,垂直, ,滨州新闻综合,AVS+,DRA,开锁,4625,4626,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,538,垂直, ,山东体育广播, ,MPEG-1,开锁, ,2689,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,538,垂直, ,山东音乐广播, ,MPEG-1,开锁, ,2673,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,538,垂直, ,山东乡村广播, ,MPEG-1,开锁, ,2657,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,538,垂直, ,山东交通广播, ,MPEG-1,开锁, ,2641,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,538,垂直, ,中国之声, ,MPEG-1,开锁, ,2705,滨州市发射塔, ,ypb002 2020-05-15,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,554,垂直, ,山东公共,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,554,垂直, ,山东农科,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,554,垂直, ,山东生活,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,554,垂直, ,山东综艺,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,554,垂直, ,山东影视,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,554,垂直, ,山东体育,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,554,垂直, ,山东少儿,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,554,垂直, ,山东卫视,AVS+,DRA,开锁, , ,滨州市发射塔, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,554,垂直, ,山东公共,AVS+,DRA,开锁, , ,无棣, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,554,垂直, ,山东农科,AVS+,DRA,开锁, , ,无棣, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,554,垂直, ,山东生活,AVS+,DRA,开锁, , ,无棣, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,554,垂直, ,山东综艺,AVS+,DRA,开锁, , ,无棣, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,554,垂直, ,山东影视,AVS+,DRA,开锁, , ,无棣, ,春秋新白2020-08-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
