index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,泊头1,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,泊头2,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,[河北卫视](http://www.cctv.com),AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,河北经济,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,河北影视,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,河北农民,AVS+,DRA,开锁, , ,泊头, ,往事如风2017-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,498,垂直, ,环球奇观,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,498,垂直, ,CHC家庭影院,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,498,垂直, ,河北都市,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,498,垂直, ,全纪实,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,498,垂直, ,深圳卫视,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,498,垂直, ,数码影像,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,498,垂直, ,【预备频道】,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,498,垂直, ,【预备频道】,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,498,垂直, ,【预备频道】,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,498,垂直, ,【预备频道】,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,506,垂直, ,中央电视台综合频道,MPEG-4,MPEG-1,开锁,258,259,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,506,垂直, ,中央电视台财经频道,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,506,垂直, ,[中央电视台综艺频道](http://www.cctv.com/),MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,506,垂直, ,中央电视台 中文国际频道,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,506,垂直, ,中央电视台体育频道,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,506,垂直, ,中央电视台电影频道,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,506,垂直, ,中央电视台军事农业频道,MPEG-4,MPEG-1, , , ,孟村, ,萍聚 2018-06-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
