index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506,水平, ,华视传媒,MPEG-4,AAC,开锁, , ,市区, ,Xiangzi 2024-02-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506,水平, ,移动公交,MPEG-4,AAC,开锁,68,69,市区, ,Xiangzi 2024-02-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554, , ,吉林卫视,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554, , ,吉林都市,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554, , ,吉林生活,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554, , ,吉林影视,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554, , ,吉林乡村,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, , ,吉林新闻,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554, , ,吉林综艺文化,AVS+,DRA,开锁, , ,市区 榆树, ,Xiangzi 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,562, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 榆树, ,陈柏心 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,562, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 榆树, ,陈柏心 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,562, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 榆树, ,陈柏心 2024-02-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
