index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,湖南都市高清频道,AVS+,MPEG-1,开锁,301,302, , ,燕舞鹰歌2022-09-03,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506, , ,湖南娱乐高清频道,AVS+,MPEG-1,开锁,401,402, , ,燕舞鹰歌2022-09-03,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, , ,湖南电视剧高清频道,AVS+,MPEG-1,开锁,501,502, , ,燕舞鹰歌2022-09-03,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506, , ,金鹰卡通高清频道,AVS+,MPEG-1,开锁,601,602, , ,燕舞鹰歌2022-09-03,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514, ,80,湖南卫视,AVS+,MPEG-1,开锁,81,82,常德太阳山 5KW,16QAM PN420 4/5(0.8),华容小禹2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, ,90,湖南经视,AVS+,MPEG-1,开锁,91,92,常德太阳山 5KW,16QAM PN420 4/5(0.8),华容小禹2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, ,300,湖南都市,AVS+,MPEG-1,开锁,301,302,常德太阳山 5KW,16QAM PN420 4/5(0.8),华容小禹2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522,水平,100,湖南卫视,AVS+,DRA,开锁,101,102,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522,水平, ,湖南经视,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,水平, ,湖南都市,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,水平, ,湖南娱乐,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522,水平, ,湖南电视剧,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522,水平, ,金鹰纪实,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522,水平, ,金鹰卡通,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522,水平, ,湖南爱晚,AVS+,DRA,开锁, , ,（常德太阳山 7:00-1:00 1KW） 桃源黄家岭 安乡黄山头,16QAM PN945 4/5(0.8),yy930956076 2023-07-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
