index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0, , , ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1, , , ,中央电视台财经频道,AVS+,DRA,开锁,513,660, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2, , , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3, , , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4, , , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5, , , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6, , , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7, , , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,570, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,570, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,570, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,570, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,570, , ,西藏卫视 汉语,AVS+,DRA,开锁, , , , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,570, , ,西藏卫视 藏语,AVS+,DRA,开锁, , , , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,570, , ,昌都综合,AVS+,DRA,开锁, , , , ,半夏的记忆2020-08-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
