index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,514, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,514, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,514, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,746, , ,昌吉生活,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,746, , ,新疆电视台8套,MPEG-2,MPEG-2,开锁,769,770,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,746, , ,新疆电视台5套,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,746, , ,新疆电视台7套,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,746, , ,新疆电视台10套,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,754, , ,中央电视台综合频道,MPEG-2,MPEG-2,开锁, , ,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,754, , ,中央电视台军事农业频道,MPEG-2,MPEG-2,开锁, , ,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,754, , ,昌吉一套,MPEG-2,MPEG-2,开锁, , ,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,754, , ,昌吉二套,MPEG-2,MPEG-2,开锁, , ,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,754, , ,昌吉市,MPEG-2,MPEG-2,开锁, , ,昌吉, ,新疆008电器 2018-03-31, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,762, , ,昌吉综合,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,762, , ,阜康一套,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,762, , ,阜康二套,MPEG-2,MPEG-2,开锁,1025,1026,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,762, , ,阜康三套,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,762, , ,阜康四套,MPEG-2,MPEG-2,开锁, , ,阜康, ,新疆008电器 2018-03-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
