index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,宁乡综合,AVS+,DRA,开锁, , ,宁乡望北峰, ,火星无线电 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,187, , ,湖南卫视,AVS+,DRA,开锁, , ,宁乡望北峰, ,火星无线电 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, ,800,长沙移动电视,AVS+,MPEG-1,开锁,802,803,长沙德雅院,16QAM PN945,火星无线电 2022-08-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522, ,100,湖南卫视,AVS+,DRA,开锁,101,102,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, , ,湖南经视,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, , ,湖南都市,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, , ,湖南娱乐,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, , ,湖南电视剧,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, , ,金鹰纪实,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, , ,金鹰卡通,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, ,170,湖南爱晚,AVS+,DRA,开锁,171,172,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, , ,湖南教育,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, , ,潇湘电影,AVS+,DRA,开锁, , ,市区,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,浏阳道吾山, ,浏阳小飞2019-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,522, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,浏阳道吾山, ,浏阳小飞2019-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,522, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,浏阳道吾山, ,浏阳小飞2019-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,522, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,浏阳道吾山, ,浏阳小飞2019-11-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,530,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,530,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,530,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,530,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,530,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,530,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,530,水平,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,530,水平,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,530,水平,101,中国之声, ,MPEG-1,开锁, ,730,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,530,水平,102,经济之声, ,MPEG-1,开锁, ,740,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,530,水平,103,音乐之声, ,MPEG-1,开锁, ,750,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,530,水平,104,经典音乐广播, ,MPEG-1,开锁, ,760,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,530,水平,105,台海之声, ,MPEG-1,开锁, ,770,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,530,水平,106,神州之声, ,MPEG-1,开锁, ,780,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,530,水平,108,民族之声, ,MPEG-1,开锁, ,790,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,530,水平,109,文艺之声, ,MPEG-1,开锁, ,800,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,530,水平,110,老年之声, ,MPEG-1,开锁, ,810,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,530,水平,112,阅读之声, ,MPEG-1,开锁, ,820,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,530,水平,115,中国交通广播, ,MPEG-1,开锁, ,830,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,530,水平,116,中国乡村之声, ,MPEG-1,开锁, ,840,长沙德雅院,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,554, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,浏阳, ,liuyangren 2018-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,554, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,浏阳, ,liuyangren 2018-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,554, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,浏阳, ,liuyangren 2018-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,554, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,浏阳, ,liuyangren 2018-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,554, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,浏阳, ,liuyangren 2018-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,554, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,浏阳, ,liuyangren 2018-12-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
