index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,长子文化,AVS+,MPEG-2,开锁,50,51,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,长子综合,AVS+,MPEG-2,开锁,52,261,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,山西卫视,AVS+,MPEG-2,开锁,54,55,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,中国教育电视一套,AVS+,MPEG-2,开锁,71,72,长子县, ,花漾浮生2018-04-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,554, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,554, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,554, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,554, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,554, , ,长治一套,AVS+,MPEG-2,开锁,50,51,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,554, , ,【预备频道】,AVS+,MPEG-2,开锁,52,261,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,554, , ,【山西卫视】,AVS+,MPEG-2,开锁,54,55,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,554, , ,潞城新闻,AVS+,MPEG-2,开锁,71,72,潞城, ,songjinwei 2019-11-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,562, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,562, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,562, , ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,562, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,562, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,562, , ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,562, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,562, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,长子, ,花漾浮生2018-04-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,562,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,562,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,562,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,562,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,562,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,562,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,562,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,562,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,562,垂直,101,中国之声, ,MPEG-1,开锁, ,730,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,562,垂直,102,经济之声, ,MPEG-1,开锁, ,740,市区 老顶山发射台1000W, ,文博小同志 2022-08-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
