index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506,水平, ,辽宁卫视,AVS+,DRA,开锁,257,258,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506,水平, ,辽宁都市,AVS+,DRA,开锁,260,261,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506,水平, ,辽宁影视剧,AVS+,DRA,开锁,513,514,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506,水平, ,宜佳购物,AVS+,DRA,开锁,516,517,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506,水平, ,辽宁体育,AVS+,DRA,开锁,769,770,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506,水平, ,辽宁生活,AVS+,DRA,开锁,762,763,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506,水平, ,辽宁北方,AVS+,DRA,开锁,1025,1026,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506,水平, ,辽宁教育青少,AVS+,DRA,开锁,1028,1029,建平 黄花山 发射塔, ,wangxin 0723 2022-04-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506,水平, ,辽宁卫视,AVS+,DRA,开锁,257,258,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506,水平, ,辽宁都市,AVS+,DRA,开锁,260,261,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506,水平, ,辽宁影视剧,AVS+,DRA,开锁,513,514,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506,水平, ,宜佳购物,AVS+,DRA,开锁,516,517,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506,水平, ,辽宁体育,AVS+,DRA,开锁,769,770,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506,水平, ,辽宁生活,AVS+,DRA,开锁,762,763,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506,水平, ,辽宁北方,AVS+,DRA,开锁,1025,1026,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506,水平, ,辽宁教育青少,AVS+,DRA,开锁,1028,1029,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,514, ,101,中国之声, ,MPEG-1,开锁, ,730,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,514, ,102,经济之声, ,MPEG-1,开锁, ,740,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,凤凰山发射台, ,新天11号 2022-07-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
