index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平, ,龙泉电视台,MPEG-4,MPEG-1, ,1271,1272,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,水平, ,四川卫视,MPEG-4,MPEG-1,开锁,1111,1112,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482,水平, ,中央电视台综艺频道,MPEG-4,MPEG-1, ,1211,1212,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482,水平, ,四川电视3台（文化旅游）,MPEG-4,MPEG-1,开锁,1221,1222,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482,水平, ,中央电视台体育频道,MPEG-4,MPEG-1, ,1241,1242,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482,水平, ,蒲江电视台,MPEG-4,MPEG-1,开锁,1281,1282,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482,水平, ,新津电视台,MPEG-4,MPEG-1,开锁,258,259,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,水平, ,峨眉电影,MPEG-4,MPEG-1, ,1291,1292,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,水平, ,金堂电视台,MPEG-4,MPEG-1,开锁,1057,1058,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,水平, ,成都一套（新闻综合）,MPEG-4,MPEG-1,开锁,1251,1252,金堂炮台山、四方山、寨子山台 都江堰 彭州丹景山 简阳棋盘山 龙泉凉风垭及40个直放点 蒲江玉子贯 大邑静慧山 邛崃南宝山,64QAM PN945 3/5(0.6),姚你玩 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
