index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,778, , ,海南综合, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,778, , ,旅游卫视, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,778, , ,海南新闻, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,778, , ,三沙卫视, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,778, , ,[中央电视台综合频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,778, , ,[中央电视台经济频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,778, , ,[中央电视台中文国际频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,778, , ,中央电视台军事农业频道, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,778, , ,[中央电视台记录频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,778, , ,[中央电视台科教频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,778, , ,[中央电视台戏曲频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,778, , ,中央电视台社会与法频道, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,778, , ,[中央电视台新闻频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,778, , ,[中央电视台少儿频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,778, , ,[中央电视台音乐频道](http://www.cctv.com), , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,778, , ,中国环球电视网新闻频道, , ,开锁, , , , ,charlieb1 2016-07-21, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
