index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,【湖南电视剧 黑屏】,AVS+,DRA, ,769,770,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,【湖南经视 黑屏】,AVS+,DRA, ,772,773,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,【湖南都市 黑屏】,AVS+,DRA, ,1025,1026,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,【湖南卫视 黑屏】,AVS+,DRA, ,1128,1029,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,【湖南娱乐 黑屏】,AVS+,DRA, ,1281,1282,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,【汝城一套 黑屏】,AVS+,DRA, ,1537,1538,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,【郴州新闻综合 黑屏】,AVS+,DRA, ,1284,1285,汝城, ,xxj737 2018-07-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514,水平,400,湖南娱乐,AVS+,MPEG-1,开锁,401,402,桂阳县泗洲山,16QAM PN420 4/5(0.8),haijk2007 2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,514,水平,500,湖南电视剧,AVS+,MPEG-1,开锁,501,502,桂阳县泗洲山,16QAM PN420 4/5(0.8),haijk2007 2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514,水平,600,金鹰卡通,AVS+,MPEG-1,开锁,601,602,桂阳县泗洲山,16QAM PN420 4/5(0.8),haijk2007 2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514,水平,700,湖南电影,AVS+,MPEG-1,开锁,701,702,桂阳县泗洲山,16QAM PN420 4/5(0.8),haijk2007 2023-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,100,湖南卫视,AVS+,DRA,开锁,101,102,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, , ,湖南经视,AVS+,DRA,开锁,111,112,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, , ,湖南都市,AVS+,DRA,开锁,121,121,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, , ,湖南娱乐,AVS+,DRA,开锁,131,131,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, , ,湖南电视剧,AVS+,DRA,开锁,141,141,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, , ,金鹰纪实,AVS+,DRA,开锁,151,152,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, , ,金鹰卡通,AVS+,DRA,开锁,161,162,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, , ,湖南爱晚,AVS+,DRA,开锁,171,172,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, , ,湖南教育,AVS+,DRA,开锁,181,182,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,522, , ,潇湘电影,AVS+,DRA,开锁,191,192,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,522, , ,广播, ,MPEG-1,开锁, ,200,市区 桂阳泗州山,16QAM PN945 4/5(0.8),xxj737 2024-01-31,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,522, , ,中央电视台农业农村频道,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,522, , ,中央电视台纪录频道,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,522, , ,中央电视台戏曲频道,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,522, , ,中国环球电视网新闻频道,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,522, , ,湖南卫视,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,522, , ,湖南经视,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,522, , ,湖南都市,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,522, , ,湖南娱乐,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,522, , ,郴州新闻,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,522, , ,资兴台,AVS+,MPEG-1,开锁, , ,资兴, ,永兴县樟树镇统计 2020-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,530,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,桂阳县泗洲山, ,haijk2007 2022-03-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,530,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,桂阳县泗洲山, ,haijk2007 2022-03-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,530,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,桂阳县泗洲山, ,haijk2007 2022-03-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,530,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,桂阳县泗洲山, ,haijk2007 2022-03-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
