index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,562, , ,中央电视台纪录频道,AVS+,DRA,开锁,512,650,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,562, , ,中央电视台新闻频道,AVS+,DRA,开锁,513,660,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,562, , ,中央电视台少儿频道,AVS+,DRA,开锁,514,670,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,562, , ,中央电视台奥林匹克频道,AVS+,DRA,开锁,515,680,翁牛特804台, ,BDK01 2020-06-23, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,610, , ,中央电视台经济频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,610, , ,中央电视台中文国际频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,610, , ,中央电视台体育频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,610, , ,中央电视台军事农业频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,610, , ,中央电视台电视剧频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,610, , ,中央电视台记录频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,610, , ,中央电视台科教频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,610, , ,中央电视台戏曲频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,610, , ,中央电视台社会与法频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,610, , ,中央电视台少儿频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
