index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, , ,安徽卫视,AVS+,DRA,开锁, , ,青阳县蓉城镇, ,danaky 2023-04-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, , ,安徽经济生活,AVS+,DRA,开锁, , ,青阳县蓉城镇, ,danaky 2023-04-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, , ,安徽影视,AVS+,DRA,开锁, , ,青阳县蓉城镇, ,danaky 2023-04-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, , ,青阳综合,AVS+,DRA,开锁, , ,青阳县蓉城镇, ,danaky 2023-04-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506, , ,安徽卫视,AVS+,DRA,开锁, , ,市区, ,1302290023 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,市区, ,1302290023 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,安徽影视,AVS+,DRA,开锁, , ,市区, ,1302290023 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,安徽公共,AVS+,DRA,开锁, , ,市区, ,1302290023 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,安徽综艺,AVS+,DRA,开锁, , ,市区, ,1302290023 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,安徽科教,AVS+,DRA,开锁, , ,市区, ,1302290023 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,贵池区太朴山,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,贵池区太朴山,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,贵池区太朴山,16QAM,1302290023 2023-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
