index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203, , ,重庆新闻,AVS+,DRA,开锁, , ,酉阳, ,[Kai Fang 2023-12-30](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203, , ,重庆卫视,AVS+,DRA,开锁, , ,酉阳, ,[Kai Fang 2023-12-30](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,203, , ,酉阳综合,AVS+,DRA,开锁, , ,酉阳, ,[Kai Fang 2023-12-30](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, , ,重庆新闻,AVS+,DRA,开锁, , ,万州, ,[刘学文 2022-05-07](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,211, , ,重庆卫视,AVS+,DRA,开锁, , ,万州, ,[刘学文 2022-05-07](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,211, , ,三峡频道,AVS+,DRA,开锁, , ,万州, ,[刘学文 2022-05-07](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,211, , ,万州综合,AVS+,DRA,开锁, , ,万州, ,[刘学文 2022-05-07](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,重庆卫视,AVS+,DRA,开锁, , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474, , ,重庆新闻,AVS+,DRA,开锁, , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,南川新闻综合,AVS+,DRA,开锁, , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,474, , ,广播, , , , , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,474, , ,广播, , , , , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,474, , ,广播, , , , , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,474, , ,广播, , , , , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,474, , ,广播, , , , , ,南川, ,[刘学文 2022-04-16](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
