index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,中央电视台军事农业频道,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,中央电视台记录频道,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,490, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, , ,广西卫视,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490, , ,广西综艺,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490, , ,崇左新闻综合,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,490, , ,扶绥台,AVS+,DRA,开锁, , ,扶绥, ,13876.5 2017-09-05, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,674, , ,[中央电视台综合频道](http://www.cctv.com/),AVS+,DRA,开锁,512,650, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,674, , ,[中央电视台经济频道](http://www.cctv.com/),AVS+,DRA,开锁,513,660, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,674, , ,[中央电视台中文国际频道](http://www.cctv.com/),AVS+,DRA,开锁,514,670, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,674, , ,[中央电视台科教频道](http://www.cctv.com/),AVS+,DRA,开锁,515,680, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,674, , ,[中央电视台社会与法频道](http://www.cctv.com/),AVS+,DRA,开锁,516,690, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,674, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,674, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,674, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720, , ,mjshabcd 2016-07-09, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,738, , ,[中央电视台综合频道](http://www.cctv.com/),AVS+,DRA,开锁,512,650,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,738, , ,[中央电视台经济频道](http://www.cctv.com/),AVS+,DRA,开锁,513,660,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,738, , ,[中央电视台中文国际频道](http://www.cctv.com/),AVS+,DRA,开锁,514,670,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,738, , ,[中央电视台科教频道](http://www.cctv.com/),AVS+,DRA,开锁,515,680,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,738, , ,[中央电视台社会与法频道](http://www.cctv.com/),AVS+,DRA,开锁,516,690,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,738, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,738, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,738, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,大新, ,新乡原阳2018-04-24, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,770, , ,中央电视台军事农业频道,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,770, , ,中央电视台记录频道,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,770, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,770, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,770, , ,广西卫视,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,770, , ,广西综艺,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,770, , ,崇左新闻综合,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,770, , ,【预备频道】,AVS+,DRA,开锁, , , , ,星仔s16 2016-12-12, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
