index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, , ,[中国环球电视网新闻频道](http://www.cctv.com),AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171, , ,[全椒综合](http://www.cctv.com),AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171, , ,[全椒生活](http://www.cctv.com),AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,171, , ,安徽卫视,AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,171, , ,安徽公共,AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,171, , ,安徽经济生活,AVS+,DRA,开锁, , ,全椒, ,椒陵星 2024-01-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, , ,凤阳一套,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,474, , ,重庆卫视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,474, , ,湖南卫视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,474, , ,河南卫视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,474, , ,江苏卫视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,474, , ,安徽经济生活,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,474, , ,凤阳影视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,474, , ,凤阳戏曲,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,474, , ,安徽卫视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,474, , ,安徽影视,MPEG-2,MPEG-2, , , ,凤阳, ,泗县老魏 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,490, , ,凤阳综合高清频道,AVS+,DRA,开锁,160,170,凤阳, ,徽视天下 2021-05-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,490, , ,安徽卫视高清频道,AVS+,AAC,开锁,560,570,凤阳, ,徽视天下 2021-05-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,490, , ,安徽公共高清频道,AVS+,AAC,开锁,660,670,凤阳, ,徽视天下 2021-05-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,490, , ,滁州新闻综合高清频道,AVS+,AAC,开锁,760,770,凤阳, ,徽视天下 2021-05-09,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,506, , ,安徽卫视,AVS+,DRA,开锁, , ,市区, ,滁州检验 2020-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,506, , ,安徽经济生活,AVS+,DRA,开锁, , ,市区, ,滁州检验 2020-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,506, , ,安徽影视,AVS+,DRA,开锁, , ,市区, ,滁州检验 2020-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,506, , ,安徽综艺体育,AVS+,DRA,开锁, , ,市区, ,滁州检验 2020-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,506, , ,安徽公共,AVS+,DRA,开锁, , ,市区, ,滁州检验 2020-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,506, , ,安徽农业科教,AVS+,DRA,开锁, , ,市区, ,滁州检验 2020-12-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514, ,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514, ,302,中央电视台财经频道,AVS+,DRA,开锁,513,660,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514, ,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514, ,307,中央电视台少儿频道,AVS+,DRA,开锁,518,710,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,514, ,308,中央电视台音乐频道,AVS+,DRA,开锁,519,720,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,514, ,101,中国之声, ,MPEG-1,开锁, ,730,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,514, ,102,经济之声, ,MPEG-1,开锁, ,740,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,514, ,105,台海之声, ,MPEG-1,开锁, ,770,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,514, ,106,神州之声, ,MPEG-1,开锁, ,780,市区 全椒, ,滁州检验 2022-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
