index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,219, , ,庄河综合,AVS+,DRA,开锁, , ,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,219, , ,【大连综合影视】,AVS+,DRA,开锁,42,43,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,219, , ,【大连少儿】,AVS+,DRA,开锁,46,47,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,219, , ,【大连财经】,AVS+,DRA,开锁,50,51,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,219, , ,大连乐天购物,AVS+,DRA,开锁,54,55,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,219, , ,大连新闻综合,AVS+,DRA,开锁,58,59,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,219, , ,大连生活,AVS+,DRA,开锁,62,63,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,219, , ,大连公共,AVS+,DRA,开锁, , ,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,219, , ,大连文体,AVS+,DRA,开锁,70,71,庄河, ,mu yangyu 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,水平, ,金州一套,AVS+,DRA,开锁,34,35,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,水平, ,金普新区电视二套,AVS+,DRA,开锁,38,39,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474,水平, ,【大连综合影视】,AVS+,DRA,开锁,42,43,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474,水平, ,【大连少儿】,AVS+,DRA,开锁,46,47,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474,水平, ,【大连财经】,AVS+,DRA,开锁,50,51,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474,水平, ,大连乐天购物,AVS+,DRA,开锁,54,55,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474,水平, ,大连新闻综合,AVS+,DRA,开锁,58,59,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474,水平, ,大连生活,AVS+,DRA,开锁,62,63,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,474,水平, ,大连文体,AVS+,DRA,开锁,70,71,大黑山,16QAM PN945 4/5(0.8),ddzzzxx 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,482,水平, ,普兰店新闻综合,AVS+,DRA,开锁,70,71,普兰店, ,大连皓玉科技2021-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,482,水平, ,普兰店影视剧,AVS+,DRA,开锁,73,74,普兰店, ,大连皓玉科技2021-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,482,水平, ,【大连综合影视】,AVS+,DRA,开锁,77,78,普兰店, ,大连皓玉科技2021-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,482,水平, ,【大连少儿】,AVS+,DRA,开锁,81,82,普兰店, ,大连皓玉科技2021-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,482,水平, ,【大连财经】,AVS+,DRA,开锁,85,86,普兰店, ,大连皓玉科技2021-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
