index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506, , ,辽宁卫视,AVS+,DRA,开锁,257,258,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,506, , ,辽宁都市,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,506, , ,辽宁影视剧,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,宜佳购物,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506, , ,辽宁体育,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506, , ,辽宁生活,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506, , ,辽宁北方,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506, , ,辽宁教育·青少,AVS+,DRA,开锁, , ,东港, ,binbinchin 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,辽宁卫视,AVS+,DRA,开锁,257,258,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,辽宁都市,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,辽宁影视剧,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506, , ,宜佳购物,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506, , ,辽宁体育,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506, , ,辽宁生活,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506, , ,辽宁北方,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506, , ,辽宁教育·青少,AVS+,DRA,开锁, , ,丹东电视发射台（即211台）, ,binbinchin 2021-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,514, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514, , ,中国之声, ,MPEG-1,开锁, ,730,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514, , ,经济之声, ,MPEG-1,开锁, ,740,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514, , ,音乐之声, ,MPEG-1,开锁, ,750,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514, , ,经典音乐广播, ,MPEG-1,开锁, ,760,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514, , ,台海之声, ,MPEG-1,开锁, ,770,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514, , ,神州之声, ,MPEG-1,开锁, ,780,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514, , ,民族之声, ,MPEG-1,开锁, ,790,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514, , ,文艺之声, ,MPEG-1,开锁, ,800,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514, , ,老年之声, ,MPEG-1,开锁, ,810,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514, , ,阅读之声, ,MPEG-1,开锁, ,820,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,514, , ,中国交通广播, ,MPEG-1,开锁, ,830,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514, , ,中国乡村之声, ,MPEG-1,开锁, ,840,丹东电视发射台 东港市电视发射台 大孤山电视发射台 凤城市204电视转播台 宽甸县, ,binbinchin 2022-01-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,522, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,凤城市204电视转播台, ,盛京将军 2018-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,522, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,凤城市204电视转播台, ,盛京将军 2018-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,522, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,凤城市204电视转播台, ,盛京将军 2018-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,522, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,凤城市204电视转播台, ,盛京将军 2018-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,674, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,丹东电视发射台, ,binbinchin 2023-03-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,674, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,丹东电视发射台, ,binbinchin 2023-03-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,674, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,丹东电视发射台, ,binbinchin 2023-03-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,674, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,丹东电视发射台, ,binbinchin 2023-03-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,674, , ,丹东新闻综合,AVS+,DRA,开锁, , ,丹东电视发射台, ,binbinchin 2023-03-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,674, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,东港市电视发射台, ,binbinchin 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,674, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,东港市电视发射台, ,binbinchin 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,674, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,东港市电视发射台, ,binbinchin 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,674, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,东港市电视发射台, ,binbinchin 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,674, , ,新东港,AVS+,DRA,开锁,66,67,东港市电视发射台, ,binbinchin 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,674, , ,东港综合,AVS+,DRA,开锁,131,68,东港市电视发射台, ,binbinchin 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
