index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,[中央电视台英语新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514, , ,旅游卫视,AVS+,DRA,开锁, , , , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, , ,三沙卫视,AVS+,DRA,开锁, , , , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, , ,海南综合,AVS+,DRA,开锁, , , , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, , ,海南新闻,AVS+,DRA,开锁, , , , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514, , ,儋州台,AVS+,DRA,开锁, , , , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,远程天霜 2016-12-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
