index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,山西卫视,AVS+,DRA,开锁, , ,灵丘, ,宋小宝贝 2021-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,大同一套,AVS+,DRA,开锁, , ,灵丘, ,宋小宝贝 2021-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,灵丘综合,AVS+,DRA,开锁, , ,灵丘, ,宋小宝贝 2021-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,大同, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
