index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平, ,[中央电视台综合频道（黑屏）](http://www.thmz.com/),AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482,水平, ,中央电视台经济频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482,水平, ,中央电视台中文国际频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482,水平, ,中央电视台军事农业频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482,水平, ,中央电视台科教频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482,水平, ,中央电视台戏曲频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482,水平, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482,水平, ,中央电视台新闻频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482,水平, ,[中央电视台少儿频道](http://www.thmz.com/),AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482,水平, ,中央电视台音乐频道,AVS+, ,开锁, , ,开江, ,ZETA 2016-06-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
