index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179, , ,绵竹高清,AVS+,DRA,开锁,34,35,绵竹,16QAM PN420 4/5(0.8),qianying818 2023-10-06,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,中江新闻,AVS+,DRA,开锁,41,38,中江,16QAM PN420 4/5(0.8),qianying818 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,四川卫视,AVS+,DRA,开锁, , ,中江,16QAM PN420 4/5(0.8),qianying818 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,德阳新闻,AVS+,DRA,开锁, , ,中江,16QAM PN420 4/5(0.8),qianying818 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,DTV4,AVS+,DRA,开锁, , ,中江,16QAM PN420 4/5(0.8),qianying818 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,626, ,1,德阳应急,MPEG-2,MPEG-1,开锁,99,98,旌阳,16QAM PN420 4/5(0.8),qianying818 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,626, ,501,旌阳新闻,MPEG-4,MPEG-1,开锁,5021,5022,旌阳,16QAM PN420 4/5(0.8),qianying818 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,626, ,502,德阳新闻综合,MPEG-4,MPEG-1,开锁,5011,5012,旌阳,16QAM PN420 4/5(0.8),qianying818 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,626, ,8,德阳经济生活广播, ,MPEG-1,开锁, ,129,旌阳,16QAM PN420 4/5(0.8),qianying818 2023-10-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,626, ,9,德阳综合广播, ,MPEG-1,开锁, ,141,旌阳,16QAM PN420 4/5(0.8),qianying818 2023-10-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,490, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,490, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,490, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,490, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,490, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,490, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,490, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,罗江县, ,qianying818 2017-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,506, , ,四川卫视,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,506, , ,四川2套,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,506, , ,四川3套,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,506, , ,四川4套,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,506, , ,四川5套,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,506, , ,德阳新闻,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,506, , ,德阳公共,MPEG-4, ,开锁, , , , ,jdtvw2016-12-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,506,水平, ,中央电视台综合频道,AVS+,MEPG-1,开锁,1011,1012,中江补点, ,qianying818 2018-03-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,506,水平, ,中央电视台财经频道,AVS+,MEPG-1,开锁,1021,1022,中江补点, ,qianying818 2018-03-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,506,水平, ,中央电视台中文国际频道,AVS+,MEPG-1,开锁,1031,1032,中江补点, ,qianying818 2018-03-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
