index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203, ,1002,【夏津综合】,AVS+,DRA,开锁,36,37,夏津,64QAM 3/5(0.6),预览满天星2023-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,203, ,1003,【夏津公共】,AVS+,DRA,开锁,40,41,夏津,64QAM 3/5(0.6),预览满天星2023-08-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,203, ,1001,应急广播, ,MPEG-1,开锁, ,33,夏津,64QAM 3/5(0.6),预览满天星2023-08-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,219, ,2,武城影视,AVS+,MPEG-1,开锁,202, ,武城,16QAM 4/5(0.8),预览满天星 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,219, ,1001,武城新闻综合,AVS+,MPEG-1,开锁,102, ,武城,16QAM 4/5(0.8),预览满天星 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,219, ,1,应急广播, ,MPEG-1,开锁, ,1001,武城,16QAM 4/5(0.8),预览满天星 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, ,1,宁津综合,AVS+,DRA,开锁,7000,7003,宁津,16QAM 4/5(0.8),预览满天星 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, ,2,宁津综艺,AVS+,DRA,开锁,7010,7013,宁津,16QAM 4/5(0.8),预览满天星 2023-08-31,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,490, ,1,平原综合,AVS+,DRA,开锁,66,67,平原,16QAM 4/5(0.8),预览满天星 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490, ,2,平原综艺,AVS+,DRA,开锁,130,131,平原,16QAM 4/5(0.8),预览满天星 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490, ,1,应急广播, ,MPEG-1,开锁, ,261,平原,16QAM 4/5(0.8),预览满天星 2023-08-07,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, , ,山东卫视,AVS+,DRA,开锁,4113,4114,宁津, ,元氏老宋 2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,498, , ,山东齐鲁,AVS+,DRA,开锁,4129,4130,宁津, ,元氏老宋 2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,498, , ,德州综合,AVS+,DRA,开锁,4177,4178,宁津, ,元氏老宋 2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,498, , ,宁津新闻综合,AVS+,DRA,开锁,4929,4930,宁津, ,元氏老宋 2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,498, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,宁津, ,元氏老宋 2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,498, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,宁津, ,元氏老宋 2017-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
