index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,530, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,530, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,530, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,530, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,530, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,530, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554, , ,[中国环球新闻网英语新闻频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,738, , ,旅游卫视,AVS+,DRA,开锁, , ,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,738, , ,三沙卫视,AVS+,DRA,开锁, , ,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,738, , ,海南综合,AVS+,DRA,开锁, , ,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,738, , ,海南新闻,AVS+,DRA,开锁, , ,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,738, , ,海南公共,AVS+,DRA,开锁, , ,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,738, , ,[海南影视](http://www.cctv.com),AVS+,DRA,开锁,3041,3042,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,738, , ,海南少儿,AVS+,DRA,开锁, , ,金鸡岭发射站, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,762, , ,旅游卫视,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,762, , ,海南综合,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,762, , ,海南新闻,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,762, , ,中央电视台综合频道,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,762, , ,海南公共,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,762, , ,定安台,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,762, , ,琼剧之乡,MPEG-2, ,开锁, , ,定安龙门发射台, ,fa88 2017-01-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
