index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,211, ,1024,陇西综合,MPEG-2,MPEG-2,开锁,164,84,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,211, ,1281,定西综合,MPEG-2,MPEG-2,开锁,1283,1284,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,211, ,1285,定西文旅生活,MPEG-2,MPEG-2,开锁,1287,1288,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,211, ,1289,定西广播1, ,MPEG-1,开锁, ,1291,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,211, ,1292,定西广播2, ,MPEG-1,开锁, ,1294,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,211, ,48,定西交通广播, ,MPEG-1,开锁, ,273,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,211, ,257,陇西日常广播, ,MPEG-1,开锁, ,401,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,211, ,513,应急广播, ,MPEG-1,开锁, ,512,陇西高台山转播台, ,nanzt 2022-11-26,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,219, , ,渭源电视台,MPEG-2,MPEG-1,开锁,257,258,渭源县,16QAM PN420 4/5(0.8),nanzt 2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,219, , ,定西综合,MPEG-2,MPEG-1,开锁,513,514,渭源县,16QAM PN420 4/5(0.8),nanzt 2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,219, , ,甘肃文化影视,MPEG-2,MPEG-1,开锁,769,770,渭源县,16QAM PN420 4/5(0.8),nanzt 2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,219, , ,甘肃都市,MPEG-2,MPEG-1,开锁,1281,1282,渭源县,16QAM PN420 4/5(0.8),nanzt 2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,219, , ,甘肃少儿,MPEG-2,MPEG-1,开锁,1537,1538,渭源县,16QAM PN420 4/5(0.8),nanzt 2024-01-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490, , ,定西综合,MPEG-2,MPEG-1,开锁,160,80,通渭, ,nanzt 2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490, , ,定西文旅生活,MPEG-2,MPEG-1,开锁,161,81,通渭, ,nanzt 2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,490, , ,通渭电视台,MPEG-2,MPEG-1,开锁,513,660,通渭, ,nanzt 2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,490, , ,甘肃卫视,MPEG-2,MPEG-1,开锁,514,670,通渭, ,nanzt 2022-11-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,498, , ,甘肃公共应急,MPEG-2,MPEG-1,开锁,257,258,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,498, , ,定西综合,MPEG-2,MPEG-1,开锁,513,514,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,498, , ,中央电视台综合频道,MPEG-2,MPEG-1,开锁,1281,1282,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,498, , ,中央电视台农业农村频道,MPEG-2,MPEG-1,开锁,1537,1538,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,498, , ,漳县电视台,MPEG-2,MPEG-1,开锁,4113,272,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,498, , ,应急广播, ,MPEG-1,开锁, ,769,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,498, , ,应急广播, ,MPEG-1,开锁, ,1025,漳县,64QAM PN420 3/5(0.6),[nanzt 2023-10-03](),"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538, , ,中央电视台综合频道,MPEG-2,MPEG-2,开锁,162,82,临洮, ,寻星爱好者0 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,538, , ,临洮电视台,MPEG-2,MPEG-2,开锁,164,84,临洮, ,寻星爱好者0 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,538, , ,定西综合,MPEG-2,MPEG-2,开锁,170,3730,临洮, ,寻星爱好者0 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,538, , ,定西文旅生活,MPEG-2,MPEG-2,开锁,171,3736,临洮, ,寻星爱好者0 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,562, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,562, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,562, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,562, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,562, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,562, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,562, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区 陇西 临洮 通渭 漳县 渭源 岷县,16QAM PN420 4/5(0.8),寻星爱好者0 2023-02-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
