index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15, , , , , , , , , , , , , ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
