index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,垂直, ,东营新闻综合,AVS+,MPEG-1,开锁,54,55,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474,垂直, ,垦利新闻综合,AVS+,MPEG-1,开锁,34,35,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474,垂直, ,中央电视台财经频道,AVS+,MPEG-1,开锁,37,38,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474,垂直, ,中央电视台新闻频道,AVS+,MPEG-1,开锁,40,41,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474,垂直, ,山东卫视,AVS+,MPEG-1,开锁,63,64,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474,垂直, ,山东齐鲁,AVS+,DRA,开锁,60,61,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474,垂直, ,山东综艺,AVS+,MPEG-1,开锁,51,52,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474,垂直, ,山东生活,AVS+,DRA,开锁,57,58,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474,垂直, ,中央电视台综合频道,AVS+,MPEG-1,开锁,47,48,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,垂直, ,中央电视台农业农村频道,AVS+,MPEG-1,开锁,69,70,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,垂直, ,中央电视台少儿频道,AVS+,MPEG-1,开锁,66,67,垦利, ,夜独醉 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554, ,10001,山东卫视,AVS+,DRA,开锁,4113,4114,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554, ,10003,山东新闻,AVS+,DRA,开锁,4145,4146,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,554, ,10004,山东农科,AVS+,DRA,开锁,4161,4162,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,554, ,10005,山东生活,AVS+,DRA,开锁,4177,4178,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,554, ,10006,山东综艺,AVS+,DRA,开锁,4193,4194,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554, ,10007,山东文旅,AVS+,DRA,开锁,4209,4210,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,554, ,10008,山东体育,AVS+,DRA,开锁,4225,4226,市区 河口区,64QAM PN420 3/5(0.6),ypb002 2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
