index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,鄂尔多斯新闻综合,MPGE-2,MPEG-2,开锁,162,82,大饭铺发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,准格尔旗电视台,MPGE-2,MPEG-2,开锁,164,84,大饭铺发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,内蒙古卫视 汉语,AVS,DRA,开锁,257,258,大饭铺发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,内蒙古卫视 蒙语,AVS,DRA,开锁,513,514,大饭铺发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,准格尔旗广播, ,MPEG-2, , ,34,大饭铺发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,鄂尔多斯新闻综合,MPGE-2,MPEG-2,开锁,162,82,沙圪堵发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,准格尔旗电视台,MPGE-2,MPEG-2,开锁,164,84,沙圪堵发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,内蒙古卫视 汉语,AVS,DRA,开锁,1280,1536,沙圪堵发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,内蒙古卫视 蒙语,AVS,DRA,开锁,1284,1544,沙圪堵发射台, ,亢奋青年 2018-02-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,498, , ,内蒙古新闻,MPEG-4,MPEG-2,开锁, , ,达拉特旗, ,minzhi 2024-02-23 测试阶段,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
