index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,湖北卫视,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,湖北公共新闻,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,湖北经视,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,湖北综合,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,湖北垄上,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , ,恩施新闻综合,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, , ,恩施文旅,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,咸丰新闻综合,AVS+,DRA,开锁, , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187, , ,应急广播, , , , , ,咸丰, ,广济之烨熠2023-10-06,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, , ,湖北卫视,AVS+,DRA,开锁,1537,1538,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474, , ,湖北公共新闻,AVS+,DRA,开锁,513,514,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474, , ,湖北经视,AVS+,DRA,开锁,516,517,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474, , ,湖北综合,AVS+,DRA,开锁,260,261,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474, , ,湖北垄上,AVS+,DRA,开锁,769,770,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474, , ,利川综合,AVS+,DRA,开锁,772,773,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474, , ,恩施新闻综合,AVS+,DRA,开锁,1025,1026,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474, , ,恩施文旅,AVS+,DRA,开锁,1028,1029,利川, ,413112784 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,482, , ,湖北卫视,AVS+,DRA,开锁,257,258,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,482, , ,湖北垄上,AVS+,DRA,开锁,260,261,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,482, , ,湖北生活,AVS+,DRA,开锁,513,514,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,482, , ,湖北经视,AVS+,DRA,开锁,516,517,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,482, , ,恩施新闻综合,AVS+,DRA,开锁,769,770,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,482, , ,湖北综合,AVS+,DRA,开锁,772,773,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,482, , ,恩施公共,AVS+,DRA,开锁,1025,1026,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,482, , ,湖北公共,AVS+,DRA,开锁,1028,1029,市区, ,鄂西烧友 2023-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
