index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,湖北卫视,AVS+,DRA,开锁,257,258,西山发射塔,16QAM 3/5(0.6),HBTV520 2022-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,湖北电视台,AVS+,DRA,开锁,260,261,西山发射塔,16QAM 3/5(0.6),HBTV520 2022-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,湖北经视,AVS+,DRA,开锁,513,514,西山发射塔,16QAM 3/5(0.6),HBTV520 2022-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,湖北公共新闻,AVS+,DRA,开锁,516,517,西山发射塔,16QAM 3/5(0.6),HBTV520 2022-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,湖北垄上,AVS+,DRA,开锁,769,770,西山发射塔,16QAM 3/5(0.6),HBTV520 2022-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, ,401,鄂州新闻综合,AVS+,DRA,开锁,1025,1026,西山发射塔,16QAM 3/5(0.6),HBTV520 2022-07-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,西山发射塔, ,胡迟 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,西山发射塔, ,胡迟 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554,水平,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,西山发射塔, ,胡迟 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554,水平,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,西山发射塔, ,胡迟 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554,水平,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,西山发射塔, ,胡迟 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554,水平,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,西山发射塔, ,胡迟 2022-07-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
