index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,530, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,530, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,530, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,530, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,530, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,530, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,530, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,市区, ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,530, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,530, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,530, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,530, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,530, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,530, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,530, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,530, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,642, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,642, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,642, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,642, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,642, , ,广西卫视,AVS+,DRA,开锁,1011,1012,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,642, , ,广西综艺旅游,AVS+,DRA,开锁,1021,1022,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,642, , ,防城港综合,AVS+,DRA,开锁,51,52,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,642, , ,上思新闻综合,AVS+,DRA,开锁,2771,2773,上思, ,上思烧星2020-07-03, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,642, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,642, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,642, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,642, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,642, , ,广西卫视,AVS+,DRA,开锁,1011,1012,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,642, , ,广西综艺旅游,AVS+,DRA,开锁,1021,1022,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,642, , ,防城港公共,AVS+,DRA,开锁,51,52,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,642, , ,东兴台,AVS+,DRA,开锁,2771,2773,东兴, ,ur1057 2018-08-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,690, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650, , ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,690, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,690, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,690, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,防论星 2017-03-12, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,722,垂直, ,[中央电视台综合频道](http://www.cctv.com/),MPEG-4,MPEG-1,锁码,512,650, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,722,垂直, ,[中央电视台财经频道](http://www.cctv.com/),MPEG-4,MPEG-1,锁码,513,660, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,722,垂直, ,中央电视台国防军事频道,MPEG-4,MPEG-1,锁码,514,670, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,722,垂直, ,中国教育电视1台,MPEG-4,MPEG-1,锁码,515,680, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,722,垂直, ,广西卫视,MPEG-4,MPEG-1,锁码,516,690, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,722,垂直, ,广西公共,MPEG-4,MPEG-1,锁码,517,700, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,722,垂直, ,金鹰卡通,MPEG-4,MPEG-1,锁码,518,710, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,722,垂直, ,中国气象,MPEG-4,MPEG-1,锁码,519,720, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,722,垂直, ,广西综艺,MPEG-4,MPEG-1,锁码,524,770, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,722,垂直, ,广西资讯,MPEG-4,MPEG-1,锁码,525,780, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,722,垂直, ,防城港公共,MPEG-4,MPEG-1,开锁,527,800, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,730,垂直, ,[中央电视台财经频道](http://www.cctv.com/),MPEG-4,MPEG-1,锁码,512,650, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,730,垂直, ,[中央电视台综艺频道](http://www.cctv.com/),MPEG-4,MPEG-1,锁码,513,660, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,730,垂直, ,中央电视台中文国际频道,MPEG-4,MPEG-1,锁码,514,670, , ,axn007 2016-12-23, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
