index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,506,垂直, ,辽宁卫视,AVS+,DRA,开锁,257,258,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,506,垂直, ,辽宁都市,AVS+,DRA,开锁,260,261,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506,垂直, ,辽宁电视剧,AVS+,DRA,开锁,513,514,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,506,垂直, ,宜佳购物,AVS+,DRA,开锁,516,517,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,506,垂直, ,辽宁体育,AVS+,DRA,开锁,769,770,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506,垂直, ,辽宁生活,AVS+,DRA,开锁,772,773,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506,垂直, ,辽宁北方,AVS+,DRA,开锁,1025,1026,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,垂直, ,辽宁教育·青少,AVS+,DRA,开锁,1028,1029,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,英佰 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
