index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,界首综合,AVS+,MPEG-1,开锁,160,170,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,江苏卫视,AVS+,MPEG-1,开锁,260,270,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,优漫卡通,AVS+,MPEG-1,开锁,360,370,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,广西卫视,AVS+,MPEG-1,开锁,460,470,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,广东卫视,AVS+,MPEG-1,开锁,560,570,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , ,云南卫视,AVS+,MPEG-1,开锁,660,670,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, , ,湖南卫视,AVS+,MPEG-1,开锁,760,770,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,河南卫视,AVS+,MPEG-1,开锁,860,870,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187, , ,界首综合,AVS+,MPEG-1,开锁,960,970,界首,64QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,219,水平, ,安徽影视,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,219,水平, ,安徽综艺体育,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,219,水平, ,安徽农业科教,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,219,水平, ,安徽卫视,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,219,水平, ,安徽经济生活,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,219,水平, ,安徽公共,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,219,水平, ,阜阳新闻,AVS+,DRA,开锁, , ,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,219,水平, ,临泉电视台,AVS+,DRA,开锁,901,902,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,219,水平, ,Audio0, ,MPEG-1,开锁, ,256,临泉,64QAM PN420 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,474,水平, ,阜阳新闻综合,AVS+,DRA,开锁,257,258,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,474,水平, ,阜阳公共,AVS+,DRA,开锁,513,514,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,474,水平, ,阜阳教育,AVS+,DRA,开锁,769,770,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,474,水平, ,阜阳都市文艺,AVS+,DRA,开锁,1540,1541,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,474,水平, ,安徽卫视,AVS+,DRA,开锁,1025,1026,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,474,水平, ,安徽综艺体育,AVS+,DRA,开锁,1281,1282,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,474,水平, ,安徽公共,AVS+,DRA,开锁,1284,1285,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,474,水平, ,安徽影视,AVS+,DRA,开锁,110,51,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,474,水平, ,安徽经济生活,AVS+,DRA,开锁,516,517,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,474,水平, ,中国教育电视台一台,AVS+,DRA,开锁,523,524,市区,16QAM PN945 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,临泉, ,新天11 2022-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,514, ,101,中国之声, ,MPEG-1,开锁, ,730,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,514, ,102,经济之声, ,MPEG-1,开锁, ,740,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,514, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,514, ,105,台海之声, ,MPEG-1,开锁, ,770,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,514, ,106,神州之声, ,MPEG-1,开锁, ,780,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,514, ,108,民族之声, ,MPEG-1,开锁, ,790,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,514, ,109,文艺之声, ,MPEG-1,开锁, ,800,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,514, ,110,老年之声, ,MPEG-1,开锁, ,810,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,514, ,112,阅读之声, ,MPEG-1,开锁, ,820,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,514, ,115,中国交通广播, ,MPEG-1,开锁, ,830,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,514, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,临泉, ,新天11 2022-08-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,522, , ,空中课堂,MPEG-4,MPEG-1,开锁,513,514,市区,4QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,522, , ,阜阳公交电视,MPEG-4,MPEG-1,开锁,257,258,市区,4QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
50,530, , ,山西卫视,MPEG-4,AAC,开锁, , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
51,530, , ,河北卫视,MPEG-4,AAC,开锁, , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,530, , ,广西卫视,MPEG-4,AAC,开锁, , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,530, , ,吉林卫视,MPEG-4,AAC,开锁, , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
54,530, , ,辽宁卫视,MPEG-4,AAC,开锁, , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
55,530, , ,黑龙江卫视,MPEG-4,AAC,开锁, , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
56,530, , ,卡酷少儿,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
57,530, , ,金鹰卡通,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
58,530, , ,剧场1,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
59,530, , ,剧场2,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
60,530, , ,怀旧剧场,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
61,530, , ,中央电视台电视剧频道,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
62,530, , ,中央电视台电影频道,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
63,530, , ,中央电视台体育频道,MPEG-4,AAC, , , ,阜南,16QAM PN420 4/5(0.8),qianying818 2023-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
