index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,江西卫视,AVS+,DRA,开锁, , ,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,赣州新闻综合,MPEG-2,MPEG-2,开锁, , ,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,于都电视台,MPEG-2,MPEG-2,开锁, , ,于都, ,刘学文 2022-01-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,中央电视台综合频道,MPEG-2,MPEG-2,开锁, , ,宁都, ,huan gailin110 2017-09-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,中央电视台农业农村频道,MPEG-2,MPEG-2,开锁, , ,宁都, ,huan gailin110 2017-09-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490, , ,江西卫视,MPEG-2,MPEG-2,开锁, , ,宁都, ,huan gailin110 2017-09-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,490, , ,赣州1套,MPEG-2,MPEG-2,开锁, , ,宁都, ,huan gailin110 2017-09-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,490, , ,宁都综合,MPEG-2,MPEG-2,开锁,1025,1026,宁都, ,huan gailin110 2017-09-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,522, , ,中央电视台农业农村频道,AVS+,DRA,Videoguard,512,650,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,522, , ,中央电视台纪录频道,AVS+,DRA,Videoguard,513,660,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,522, , ,中央电视台戏曲频道,AVS+,DRA,Videoguard,514,670,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,522, , ,中国环球电视网新闻频道,AVS+,DRA,Videoguard,515,680,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,522, , ,江西卫视,AVS+,DRA,开锁,451,452,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,522, , ,赣州新闻综合,AVS+,DRA,开锁,461,462,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,522, , ,寻乌台,AVS+,DRA,开锁,471,472,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,522, , ,赣州新闻综合,MPEG-2,MPEG-2,开锁,491,492,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,522, , ,寻乌台,MPEG-2,MPEG-2,开锁,8060,8061,寻乌县澄江发射搭 8:00-24:00, ,寻乌小凌2020-02-29 卫星电视,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,538, ,201,江西卫视,AVS+,DRA,开锁,512,650,大余卵岭转播台,4QAM 3/5(0.6),大余卫视 2023-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, ,202,江西都市,AVS+,DRA,开锁,513,660,大余卵岭转播台,4QAM 3/5(0.6),大余卫视 2023-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
