index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,658, , ,稻城电视台,MPEG-2,MPEG-1, , , ,稻城县, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,658, , ,DTV1(中央电视台电影频道）,MPEG-2,MPEG-1, , , ,稻城县, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,658, , ,DTV2(稻城电视台),MPEG-2,MPEG-1, , , ,稻城县, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,658, , ,DTV2(峨眉电影),MPEG-2,MPEG-1, , , ,稻城县, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,658, , ,DTV4（甘孜新闻综合）,MPEG-2,MPEG-1, , , ,稻城县, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,666, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,666, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,666, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,666, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,666, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,666, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,666, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,666, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,698, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,康定新都桥, ,大乖乖 2018-06-08, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
