index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, ,1580,[公主岭综合](http://www.cctv.com),AVS+,DRA,开锁,1582,1583,市区,64QAM 3/5(0.6),andyok 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,[公主岭乡村](http://www.cctv.com),AVS+,DRA,开锁, , ,市区,64QAM 3/5(0.6),andyok 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506, , ,[华视传媒](http://www.cctv.com), , ,开锁, , , , ,光頭強 2016-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506, , ,长春移动公交, , ,开锁, , , , ,光頭強 2016-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,554, , ,[吉林都市](http://www.cctv.com),AVS+,MPEG-1,开锁, , ,市区, ,andyok 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554, , ,[吉林生活](http://www.cctv.com),AVS+,MPEG-1,开锁, , ,市区, ,andyok 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554, , ,吉林影视,AVS+,MPEG-1,开锁, , ,市区, ,andyok 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, , ,吉林公共新闻,AVS+,MPEG-1,开锁, , ,市区, ,andyok 2022-09-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,562, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,andyok 2022-09-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,562, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,andyok 2022-09-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
