index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,530, , ,四川电视1台,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
1,530, , ,四川电视2台,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
2,530, , ,四川电视3台（经济）,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
3,530, , ,四川电视4台,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
4,530, , ,四川电视5台,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
5,530, , ,四川电视6台,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
6,530, , ,四川电视7台,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
7,530, , ,四川电视9台（乡村）,AVS+,DRA,开锁, , , , ,刘学文 2022-05-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
8,610, , ,中央电视台综艺频道,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
9,610, , ,中央电视台体育频道,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
10,610, , ,中央电视台电影频道,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
11,610, , ,中央电视台电视剧频道,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
12,610, , ,中央电视台纪录频道,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
13,610, , ,广安综合,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
14,610, , ,华蓥台,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
15,610, , ,邻水台,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
16,610, , ,武胜台,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
17,610, , ,岳池台,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
18,610, , ,湖南卫视,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
19,610, , ,江苏卫视,AVS+,DRA,开锁, , , , ,司空曌 2023-05-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#ff9933"">&#12288;&#12288;</span>"
20,626, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,626, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,626, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,626, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,626, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,626, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,626, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,626, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,司空曌 2023-01-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,626, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,626, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,626, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,626, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,626, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,626, ,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,626, ,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,司空曌 2023-01-05,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
