index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179,水平, ,广东体育,AVS+,DRA,开锁,501,502,从化三百洞,16QAM PN420 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,179,水平, ,广东珠江,AVS+,DRA,开锁,503,504,从化三百洞,16QAM PN420 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,179,水平,3,广州综合,AVS+,DRA,开锁,505,506,从化三百洞,16QAM PN420 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,179,水平, ,广东经济科教,AVS+,DRA,开锁,507,508,从化三百洞,16QAM PN420 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,179,水平, ,广东民生,AVS+,DRA,开锁,509,510,从化三百洞,16QAM PN420 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,203, , ,广东体育,MPEG-2,DRA,开锁, , ,花都, ,eagle 2022-06-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, , ,广东珠江,MPEG-2,DRA,开锁, , ,花都, ,eagle 2022-06-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203, , ,广东经济科教,MPEG-2,DRA,开锁, , ,花都, ,eagle 2022-06-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203, , ,花都频道,MPEG-2,DRA,开锁, , ,花都, ,eagle 2022-06-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,广州综合,MPEG-2,DRA,开锁, , ,花都, ,eagle 2022-06-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,219, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,增城,64QAM PN420 3/5(0.6),xxj737 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,219, , ,广东珠江,MPEG-2,DRA,开锁,5003,5004,增城,64QAM PN420 3/5(0.6),xxj737 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,219, , ,增城台,MPEG-2,DRA,开锁,5005,5006,增城,64QAM PN420 3/5(0.6),xxj737 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,219, , ,广东经济科教,MPEG-2,DRA,开锁,5007,5008,增城,64QAM PN420 3/5(0.6),xxj737 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,219, , ,广州综合,MPEG-2,DRA,开锁,5009,5010,增城,64QAM PN420 3/5(0.6),xxj737 2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474,水平, ,广东移动,MPEG-2,DRA,开锁,5001,5002,越秀山发射塔,64QAM PN945 3/5(0.6),桦仔记 2023-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,越秀山发射塔,64QAM PN945 3/5(0.6),桦仔记 2023-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,474,水平,3,广东新闻,MPEG-2,DRA,开锁,5005,5006,越秀山发射塔,64QAM PN945 3/5(0.6),桦仔记 2023-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,474,水平, ,广东经济科教,MPEG-2,DRA,开锁,5007,5008,越秀山发射塔,64QAM PN945 3/5(0.6),桦仔记 2023-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,474,水平, ,大湾区卫视,MPEG-2,DRA,开锁,5009,5010,越秀山发射塔,64QAM PN945 3/5(0.6),桦仔记 2023-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,474,水平, ,广州综合,MPEG-2,MPEG-2,开锁,161,81,越秀山发射塔,64QAM PN945 3/5(0.6),桦仔记 2023-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506,水平, ,广东体育,AVS+,DRA,开锁,1721,1722,越秀山发射塔,16QAM PN420 4/5(0.8),yan 2023-12-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506,水平, ,广东少儿高清频道,AVS+,DRA,开锁,1751,1752,越秀山发射塔,16QAM PN420 4/5(0.8),yan 2023-12-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506,水平, ,广东卫视高清频道,AVS+,DRA,开锁,1731,1732,越秀山发射塔,16QAM PN420 4/5(0.8),yan 2023-12-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,506,水平, ,广东影视高清频道,AVS+,DRA,开锁,1781,1782,越秀山发射塔,16QAM PN420 4/5(0.8),yan 2023-12-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514, ,101,中国之声, ,MPEG-1,开锁, ,730,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,514, ,102,经济之声, ,MPEG-1,开锁, ,740,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514, ,103,音乐之声, ,MPEG-1,开锁, ,750,从化三百洞, ,crazylee 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
