index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,538, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,538, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,538, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538, ,101,中国之声, ,MPEG-1,开锁, ,730,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, ,102,经济之声, ,MPEG-1,开锁, ,740,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, ,103,音乐之声, ,MPEG-1,开锁, ,750,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,538, ,105,台海之声, ,MPEG-1,开锁, ,770,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538, ,106,神州之声, ,MPEG-1,开锁, ,780,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538, ,108,民族之声, ,MPEG-1,开锁, ,790,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,538, ,109,文艺之声, ,MPEG-1,开锁, ,800,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538, ,110,老年之声, ,MPEG-1,开锁, ,810,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, ,112,阅读之声, ,MPEG-1,开锁, ,820,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, ,115,中国交通广播, ,MPEG-1,开锁, ,830,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,平南平山, ,卫视中文2022-08-28,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,桂平, ,白子画 2022-08-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,桂平, ,白子画 2022-08-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,桂平, ,白子画 2022-08-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,桂平, ,白子画 2022-08-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,538, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,桂平, ,白子画 2022-08-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
