index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,广西卫视,AVS+,DRA,开锁,1011,1013,平乐,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,广西新闻,AVS+,DRA,开锁, , ,平乐,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,桂林新闻综合,AVS+,DRA,开锁,34,35,平乐,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, , ,平乐综合,AVS+,MPEG-1,开锁,2421,2423,平乐,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,219, , ,广西卫视,AVS+,DRA,开锁, , ,临桂,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,219, , ,广西新闻,AVS+,DRA,开锁, , ,临桂,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,219, , ,桂林新闻综合,AVS+,DRA,开锁, , ,临桂,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,219, , ,【临桂电视】,AVS+,DRA,开锁,2401,2403,临桂,32QAM PN594 4/5(0.8),姚你玩 2023-08-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,474, , ,[中央电视台中文国际频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,474, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,474, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,474, , ,[中央电视台新闻频道](http://www.thmz.com/),AVS+,DRA,开锁,517,700,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,474, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,474, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,兴安县 点灯山, ,洛阳张刚 2017-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,474, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,474, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,474, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,474, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,474, , ,广西卫视,AVS+,DRA,开锁,1011,1013,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,474, , ,广西综艺,AVS+,DRA,开锁,1021,1023,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,474, , ,桂林新闻综合,AVS+,DRA,开锁,34,35,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,474, , ,阳朔新闻综合,AVS+,MPEG-1,开锁,101,102,阳朔, ,奋斗100% 2019-08-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,482, , ,中央电视台综合频道, , ,开锁, , ,全州, ,好样的 2018-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,482, , ,中央电视台经济频道, , ,开锁, , ,全州, ,好样的 2018-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,482, , ,[中央电视台中文国际频道](http://www.thmz.com/), , ,开锁, , ,全州, ,好样的 2018-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,482, , ,中央电视台科教频道, , ,开锁, , ,全州, ,好样的 2018-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
