index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,514, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,514, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,514, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,514, , ,贵州卫视,AVS+,DRA,开锁, , ,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,514, ,406,贵州二套,AVS+,DRA,开锁,517,700,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,514, , ,贵州移动,AVS+,DRA,开锁, , ,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,514, ,408,贵阳一套,AVS+,DRA,开锁,519,720,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,642, , ,贵阳一套,MPEG-4,MPEG-1,开锁, , ,市区,32QAM PN595 4/5(0.8),黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,642, ,9102,贵阳二套,MPEG-4,MPEG-1,开锁,769,770,市区,32QAM PN595 4/5(0.8),黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,642, , ,贵阳三套,MPEG-4,MPEG-1,开锁, , ,市区,32QAM PN595 4/5(0.8),黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,642, , ,广西卫视,MPEG-4,MPEG-1,（4a02）, , ,市区,32QAM PN595 4/5(0.8),黔星舞阳 2023-02-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,642, ,9105,云南卫视,MPEG-4,MPEG-1,（4a02）,516,662,市区,32QAM PN595 4/5(0.8),黔星舞阳 2023-02-09,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,658, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,黔星舞阳 2023-02-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
