index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,219, , ,宁夏公共,AVS+,DRA,开锁,512,650,西吉县,64QAM PN420 3/5(0.6),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,219, , ,固原公共,AVS+,DRA,开锁,513,660,西吉县,64QAM PN420 3/5(0.6),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,219, , ,西吉公共,AVS+,DRA,开锁,514,670,西吉县,64QAM PN420 3/5(0.6),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,中央电视台综合频道,AVS+,DRA,开锁, , ,固原三营转播台,64QAM PN420 3/5(0.6),南华山 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,宁夏公共,AVS+,DRA,开锁, , ,固原三营转播台,64QAM PN420 3/5(0.6),南华山 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,固原公共,AVS+,DRA,开锁, , ,固原三营转播台,64QAM PN420 3/5(0.6),南华山 2022-07-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,538, , ,宁夏影视,MPEG-2,MPEG-1,开锁, , ,市区,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538, , ,宁夏购物,MPEG-2,MPEG-1,开锁, , ,市区,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538, , ,宁夏经济,MPEG-2,MPEG-1,开锁, , ,市区,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, , ,精彩宁夏,MPEG-2,MPEG-1,开锁, , ,市区,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, , ,宁夏教育,MPEG-2,MPEG-1,开锁, , ,市区,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538, , ,宁夏少儿,MPEG-2,MPEG-1,开锁, , ,市区,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,538, , ,宁夏影视,MPEG-2,MPEG-1,开锁, , ,泾源县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538, , ,家有购物,MPEG-2,MPEG-1,开锁, , ,泾源县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538, , ,宁夏经济,MPEG-2,MPEG-1,开锁, , ,泾源县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,538, , ,精彩宁夏,MPEG-2,MPEG-1,开锁, , ,泾源县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538, , ,宁夏教育,MPEG-2,MPEG-1,开锁, , ,泾源县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, , ,宁夏少儿,MPEG-2,MPEG-1,开锁, , ,泾源县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, , ,宁夏影视,MPEG-2,MPEG-1,开锁, , ,西吉县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, , ,家有购物,MPEG-2,MPEG-1,开锁, , ,西吉县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, , ,宁夏经济,MPEG-2,MPEG-1,开锁, , ,西吉县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,538, , ,精彩宁夏,MPEG-2,MPEG-1,开锁, , ,西吉县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,538, , ,宁夏教育,MPEG-2,MPEG-1,开锁, , ,西吉县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,538, , ,宁夏少儿,MPEG-2,MPEG-1,开锁, , ,西吉县,64QAM PN420 3/5(0.6),南华山 2022-07-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,546, ,101,中国之声, ,MPEG-1,开锁, ,730,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,546, ,102,经济之声, ,MPEG-1,开锁, ,740,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,546, ,105,台海之声, ,MPEG-1,开锁, ,770,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,546, ,106,神州之声, ,MPEG-1,开锁, ,780,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,546, ,108,民族之声, ,MPEG-1,开锁, ,790,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,546, ,109,文艺之声, ,MPEG-1,开锁, ,800,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,546, ,110,老年之声, ,MPEG-1,开锁, ,810,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,546, ,112,阅读之声, ,MPEG-1,开锁, ,820,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,546, ,115,中国交通广播, ,MPEG-1,开锁, ,830,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,546, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,古雁岭发射台,16QAM PN945 4/5(0.8),南华山 2022-08-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,西吉县,16QAM PN945 4/5(0.8),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,西吉县,16QAM PN945 4/5(0.8),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,西吉县,16QAM PN945 4/5(0.8),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,西吉县,16QAM PN945 4/5(0.8),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,西吉县,16QAM PN945 4/5(0.8),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,西吉县,16QAM PN945 4/5(0.8),南华山 2022-09-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
