index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,中央电视台农业农村频道,AVS+,DRA, ,512,650,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,中央电视台纪录频道,AVS+,DRA, ,513,660,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,中央电视台戏曲频道,AVS+,DRA, ,514,670,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,中国环球电视网新闻频道,AVS+,DRA, ,515,680,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,哈尔滨新闻综合,AVS+,DRA, , , ,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,哈尔滨资讯,AVS+,DRA, , , ,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,通河综合,AVS+,DRA, , , ,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,浙江卫视,AVS+,DRA, , , ,通河县, ,新乡原阳2020-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490,垂直, ,中央电视台新闻频道,MPEG-4,MPEG-1, ,515,680,龙塔广播电视发射台, ,BLANK 2022-09-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490,垂直, ,中央电视台电影频道,MPEG-4,MPEG-1, ,519,720,龙塔广播电视发射台, ,BLANK 2022-09-23,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
