index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522, , ,海东综合,MPEG-2,MPEG-1, , , , , ,HUNNY 2022-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,522, , ,海东城市,MPEG-2,MPEG-1, , , , , ,HUNNY 2022-02-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,互助, ,李杨百胜2022-08-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
