index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522,水平, ,海南自贸,AVS+,MPEG-2,开锁,3021,3022,海南广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,522,水平, ,海南新闻,AVS+,MPEG-2,开锁,3061,3062,海南广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,522,水平, ,海南公共,AVS+,MPEG-2,开锁,3031,3032,海南广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522,水平, ,海南 文旅,AVS+,MPEG-2,开锁,3041,3042,海南广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522,水平, ,海南少儿,AVS+,MPEG-2,开锁,3051,3052,海南广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522,水平, ,三沙卫视,AVS+,MPEG-2,开锁,3071,3072,海南广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,530,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,NDS,512,650,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,530,水平, ,中央电视台财经频道,AVS+,DRA,NDS,513,660,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,530,水平, ,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,530,水平, ,中央电视台科教频道,AVS+,DRA,NDS,515,680,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,530,水平, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,NDS,516,690,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,530,水平, ,中央电视台新闻频道,AVS+,DRA,NDS,517,700,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,530,水平, ,中央电视台少儿频道,AVS+,DRA,NDS,518,710,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,530,水平, ,中央电视台音乐频道,AVS+,DRA,NDS,519,720,海口广播电视发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,626,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,MPEG-1,开锁,101,102,海口广播发射台, ,Clear 2022-08-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
