index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,638, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,638, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,638, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,638, , ,中央电视台英语新闻频道,AVS+,DRA,开锁,515,680, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,638, , ,南州电视台,AVS+,DRA,开锁, , , , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,638, , ,青海生活,AVS+,DRA,开锁, , , , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,638, , ,青海都市,AVS+,DRA,开锁, , , , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,754, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,754, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,754, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,754, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,754, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,754, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,754, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,754, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,786, , ,海南州电视台共和广播电视,AVS+,DRA,开锁, , , , ,999zya 2017-11-13, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
