index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,广平综合,MPEG-2,MPEG-2,开锁,34,35,广平, ,LIGUO BING1978 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,广平城市生活,MPEG-2,MPEG-2,开锁,38,39,广平, ,LIGUO BING1978 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,中央电视台综合频道,AVS+,DRA, , , ,临漳, ,邯郸卫星台 2017-12-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中央电视台财经频道,AVS+,DRA, , , ,临漳, ,邯郸卫星台 2017-12-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,中央电视台综艺频道,AVS+,DRA, , , ,临漳, ,邯郸卫星台 2017-12-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,河南卫视,MPEG-4,MPEG-2, , , ,馆陶, ,LIGUO BING1978 2023-08-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,北京卫视,MPEG-4,MPEG-2, , , ,馆陶, ,LIGUO BING1978 2023-08-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482, , ,江苏卫视,MPEG-4,MPEG-2, , , ,馆陶, ,LIGUO BING1978 2023-08-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482, , ,浙江卫视,MPEG-4,MPEG-2, , , ,馆陶, ,LIGUO BING1978 2023-08-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482, , ,河北卫视,MPEG-4,MPEG-2, , , ,馆陶, ,LIGUO BING1978 2023-08-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490, , ,河北卫视,HEVC,AAC,开锁,516,517,临漳,16QAM PN420 4/5(0.8),qianying818 2023-08-19,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,490, , ,临漳电视台-1,MPEG-4,MPEG-2,开锁,529,530,临漳,16QAM PN420 4/5(0.8),qianying818 2023-08-19,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,490, , ,临漳电视台-1,MPEG-4,MPEG-2,开锁,273,274,临漳,16QAM PN420 4/5(0.8),qianying818 2023-08-19,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
