index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,490, , ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490, , ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,[浙江卫视](http://www.thmz.com/),AVS+,DRA,开锁, , ,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,[杭州综合](http://www.cctv.com),AVS+,DRA,开锁, , ,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,临安新闻综合,AVS+,DRA,开锁,301,302,临安, ,peace 2017-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,522,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522,垂直,101,中国之声, ,MPEG-1,开锁, ,730,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522,垂直,102,经济之声, ,MPEG-1,开锁, ,740,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,北高峰发射台7:00—1:30有信号,16QAM PN945 4/5(0.8),hzr 2022-10-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
