index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,中央电视台军事农业频道,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,中央电视台记录频道,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中国环球新闻网新闻频道,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,482, , ,广西卫视,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,广西综艺,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,河池新闻综合,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,河池教育,AVS+,DRA,开锁, , , , ,xc99 2017-01-22, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,[中央电视台综合频道](http://www.cctv.com/),AVS+,DRA,开锁,512,650,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490, , ,[中央电视台经济频道](http://www.cctv.com/),AVS+,DRA,开锁,513,660,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490, , ,[中央电视台中文国际频道](http://www.cctv.com/),AVS+,DRA,开锁,514,670,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,490, , ,[中央电视台科教频道](http://www.cctv.com/),AVS+,DRA,开锁,515,680,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,490, , ,[中央电视台社会与法频道](http://www.cctv.com/),AVS+,DRA,开锁,516,690,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,490, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, , ,[中央电视台综合频道](http://www.cctv.com/),AVS+,DRA,开锁,512,650,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, , ,[中央电视台经济频道](http://www.cctv.com/),AVS+,DRA,开锁,513,660,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, , ,[中央电视台中文国际频道](http://www.cctv.com/),AVS+,DRA,开锁,514,670,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, , ,[中央电视台科教频道](http://www.cctv.com/),AVS+,DRA,开锁,515,680,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, , ,[中央电视台社会与法频道](http://www.cctv.com/),AVS+,DRA,开锁,516,690,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,522, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,522, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,522, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,环江县, ,梦想成真2018-05-01, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,690, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,690, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,690, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,690, , ,中国环球新闻网新闻频道,AVS+,DRA,开锁,515,680,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,690, , ,广西卫视,AVS+,DRA,开锁,1011,1013,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,690, , ,广西综艺,AVS+,DRA,开锁,1021,1023,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,690, , ,河池新闻综合,AVS+,DRA,开锁,2831,2833,天峨, ,bey125 2018-04-04, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
