index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179,垂直,100,长丰一套,AVS+,DRA,开锁,603,8-3,长丰罗集,64QAM PN420 4/5(0.8),pengxiannian 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179,垂直,200,长丰三套,AVS+,DRA,开锁,601,801,长丰罗集,64QAM PN420 4/5(0.8),pengxiannian 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,179,垂直,300,长丰二套,AVS+,DRA,开锁,602,803,长丰罗集,64QAM PN420 4/5(0.8),pengxiannian 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,179,垂直,405,安徽卫视,AVS+,DRA,开锁,1281,1282,长丰罗集,64QAM PN420 4/5(0.8),pengxiannian 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,179,垂直,406,安徽经济生活,AVS+,DRA,开锁,1537,1538,长丰罗集,64QAM PN420 4/5(0.8),pengxiannian 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,179,垂直,407,安徽公共,AVS+,DRA,开锁,1793,1794,长丰罗集,64QAM PN420 4/5(0.8),pengxiannian 2023-08-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, ,6049,北京卫视,AVS+,DRA,(6902),3091,3092,肥西,16QAM PN420 4/5(0.8),小宝看电视 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,黑龙江卫视,AVS+,DRA,开锁, , ,肥西,16QAM PN420 4/5(0.8),小宝看电视 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187, , ,重庆卫视,AVS+,DRA,开锁, , ,肥西,16QAM PN420 4/5(0.8),小宝看电视 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,187, , ,四川卫视,AVS+,DRA,开锁, , ,肥西,16QAM PN420 4/5(0.8),小宝看电视 2023-09-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
